ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,Consumer
2025-07-15,4222.308071767137,2817.3632576787145,4427.6190198496315,4222.308071767137,4222.308071767137,-600.8389363783459,-600.8389363783459,-600.8389363783459,46.493770001187755,46.493770001187755,46.493770001187755,-647.3327063795338,-647.3327063795338,-647.3327063795338,0.0,0.0,0.0,3621.4691353887915,Consumer 1
2025-07-16,4226.099122372536,2567.3488698205942,4285.001709163211,4226.099122372536,4226.099122372536,-868.9907417663102,-868.9907417663102,-868.9907417663102,-98.23493214674389,-98.23493214674389,-98.23493214674389,-770.7558096195663,-770.7558096195663,-770.7558096195663,0.0,0.0,0.0,3357.1083806062256,Consumer 1
2025-07-17,4229.890172977934,2678.049818746994,4326.809461810575,4229.890172977934,4229.890172977934,-757.7889439188527,-757.7889439188527,-757.7889439188527,132.24839782601174,132.24839782601174,132.24839782601174,-890.0373417448645,-890.0373417448645,-890.0373417448645,0.0,0.0,0.0,3472.1012290590807,Consumer 1
2025-07-18,4233.681223620304,2259.2278947933514,3923.242853933773,4233.681223620304,4233.681223620304,-1170.8541305888916,-1170.8541305888916,-1170.8541305888916,-169.12793007080754,-169.12793007080754,-169.12793007080754,-1001.726200518084,-1001.726200518084,-1001.726200518084,0.0,0.0,0.0,3062.8270930314125,Consumer 1
2025-07-19,4237.472274262675,2259.1186094760724,3849.4602466151186,4237.472274262675,4237.472274262675,-1246.7513258214863,-1246.7513258214863,-1246.7513258214863,-144.1667678749439,-144.1667678749439,-144.1667678749439,-1102.5845579465424,-1102.5845579465424,-1102.5845579465424,0.0,0.0,0.0,2990.7209484411883,Consumer 1
2025-07-20,4241.263324905045,2380.8939010069516,3961.1738663490764,4241.263324905045,4241.263324905045,-1069.0871486552676,-1069.0871486552676,-1069.0871486552676,120.61567748795157,120.61567748795157,120.61567748795157,-1189.702826143219,-1189.702826143219,-1189.702826143219,0.0,0.0,0.0,3172.176176249777,Consumer 1
2025-07-21,4245.054375547415,2234.719327499178,3957.2969902885993,4245.054375547415,4245.054375547415,-1148.4308210346805,-1148.4308210346805,-1148.4308210346805,112.17178477756246,112.17178477756246,112.17178477756246,-1260.602605812243,-1260.602605812243,-1260.602605812243,0.0,0.0,0.0,3096.623554512734,Consumer 1
2025-07-22,4248.84542536962,2178.1805764319024,3863.243617511043,4248.84542536962,4248.84542536962,-1266.8302671020924,-1266.8302671020924,-1266.8302671020924,46.49377000114387,46.49377000114387,46.49377000114387,-1313.3240371032362,-1313.3240371032362,-1313.3240371032362,0.0,0.0,0.0,2982.0151582675276,Consumer 1
2025-07-23,4252.6364751918245,1988.6568143881968,3658.294300907992,4252.6364751918245,4252.6364751918245,-1444.729466925494,-1444.729466925494,-1444.729466925494,-98.23493214717361,-98.23493214717361,-98.23493214717361,-1346.4945347783205,-1346.4945347783205,-1346.4945347783205,0.0,0.0,0.0,2807.90700826633,Consumer 1
2025-07-24,4256.42752501403,2146.449380357444,3831.7334126372048,4256.42752501403,4256.42752501403,-1227.1281541539713,-1227.1281541539713,-1227.1281541539713,132.2483978261727,132.2483978261727,132.2483978261727,-1359.3765519801439,-1359.3765519801439,-1359.3765519801439,0.0,0.0,0.0,3029.299370860059,Consumer 1
